sku,name,reason,manufacturer_url,confidence,issues
"1.269-660.0","RCF 3 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/rcf-3-12696600.html","",""
"1.269-620.0","RCV 3 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/rcv-3-12696200.html","",""
"1.269-640.0","RCV 5 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/rcv-5-12696400.html","",""
"1.628-127.0","WD 3 V-17/4/20 *EU","REAL_NO_SPECS","https://www.kaercher.com/ro/aparate-iesite-din-gama/wd-3-v-17-4-20-16281270.html","",""
"2.851-028.0"," ABS steering rollers","NO_DATA","","",""
"4.111-036.0"," Adapter 8 TR20IG-M18AG","NO_DATA","","",""
"2.642-532.0"," Add-on kit dirt trap","NO_DATA","","",""
"2.637-008.0"," Add-on kit frame Cage schmal","NO_DATA","","",""
"4.039-269.0"," Add-on kit liner holder","NO_DATA","","",""
"2.641-244.0"," Add-on kit water refilling tank","NO_DATA","","",""
"1.161-434.0"," B 110 R Classic Bp +R75","NO_DATA","","",""
"6.654-434.0"," BC offb 24V/50A 230V/50-60Hz","NO_DATA","","",""
"1.127-001.0"," BD 50/50 C Bp Classic","NO_DATA","","",""
"6.273-290.0"," BLADES FOR TEXTURED FLOORS","NO_DATA","","",""
"6.368-093.0"," Brush iSolar 400  (1100-1300 l/h)","NO_DATA","","",""
"6.233-017.0"," C-Profile 30","NO_DATA","","",""
"2.889-160.0"," Crevice nozzle wet and dry packaged NW40","NO_DATA","","",""
"4.763-988.0"," Dirt blaster","NO_DATA","","",""
"4.905-016.0"," Disc brush cpl. soft nature 300 mm","NO_DATA","","",""
"6.962-239.0"," Driving carriage DE 4002","NO_DATA","","",""
"2.889-155.0"," Filter bags-fleece 5x NT","NO_DATA","","",""
"6.904-367.0"," Flat-pleated filter only for replacement","NO_DATA","","",""
"1.030-500.0"," HG 43 *EU","NO_DATA","","",""
"6.392-632.0"," Hose assembly M22 pipe cleaning DN6 14MP","NO_DATA","","",""
"1.280-103.0"," KM 100/100 R Bp","NO_DATA","","",""
"1.280-105.0"," KM 100/100 R G","NO_DATA","","",""
"4.114-009.0"," Micro-fibre roll complete BR 45/40","NO_DATA","","",""
"2.637-903.0"," Nozzle pack","NO_DATA","","",""
"2.111-020.0"," Nozzle pack 0110","NO_DATA","","",""
"1.667-288.0"," NT 75/2 Tact² Me *EU","NO_DATA","","",""
"6.994-124.0"," Pad beige 170","NO_DATA","","",""
"6.371-154.0"," Pad green","NO_DATA","","",""
"6.369-733.0"," Pad green with sleeve","NO_DATA","","",""
"6.371-020.0"," Pad Set 2x D 330 Melamin","NO_DATA","","",""
"6.904-312.0"," Paper filtering bag 10x T","NO_DATA","","",""
"4.760-843.0"," Pistol Classic M 155°C","NO_DATA","","",""
"2.883-829.0"," Power nozzle 25043","NO_DATA","","",""
"2.113-002.0"," Power nozzle TR 15033","NO_DATA","","",""
"2.113-009.0"," Power nozzle TR 25047","NO_DATA","","",""
"2.113-028.0"," Power nozzle TR 25070","NO_DATA","","",""
"2.113-017.0"," Power nozzle TR 25100","NO_DATA","","",""
"2.113-057.0"," Power nozzle TR 40080","NO_DATA","","",""
"4.112-045.0"," PowerControl jet pipe 25034","NO_DATA","","",""
"6.401-458.0"," Quick-fitting pipe union complete","NO_DATA","","",""
"6.295-561.0"," RM 33** 200l smoking resin removing agen","NO_DATA","","",""
"6.295-424.0"," RM 39** 200l part cleaning agent","NO_DATA","","",""
"6.296-049.0"," RM 69** 10l industrial cleaner","NO_DATA","","",""
"6.295-156.0"," RM 746** 10l wipe care","NO_DATA","","",""
"6.295-540.0"," RM 750** 200l intensive deep cleaner","NO_DATA","","",""
"6.295-854.0"," RM 764 OA** 10l purifier","NO_DATA","","",""
"6.295-545.0"," RM 776** 10 L tyre and friction marks re","NO_DATA","","",""
"6.295-583.0"," RM 821 Classic** 2,5l spray wax","NO_DATA","","",""
"4.775-800.0"," Rotary controller food 416L","NO_DATA","","",""
"6.273-014.0"," Rubber lip set anti stripe oil resistant","NO_DATA","","",""
"5.411-061.0"," Screw plug","NO_DATA","","",""
"4.130-011.0"," Set carpet nozzle complete 350mm","NO_DATA","","",""
"4.250-167.0"," Set side strip","NO_DATA","","",""
"4.035-515.0"," Set spray nozzle","NO_DATA","","",""
"1.092-019.0"," SGV 8/5 Classic *EU","NO_DATA","","",""
"2.643-693.0"," Side scrubbing deck with lifting arm rig","NO_DATA","","",""
"4.116-000.0"," Steam nozzle flat TR","NO_DATA","","",""
"6.412-389.0"," Stop cock Gas","NO_DATA","","",""
"4.440-616.0"," Suction hose cone NT DN50 4m EC","NO_DATA","","",""
"1.527-213.0"," T 11/1 ClassicAdv Re!Plast *EU","NO_DATA","","",""
"1.527-181.0"," T 7/1 Classic *EU","NO_DATA","","",""
"4.656-079.0"," Take-off chimney 76x157 D199","NO_DATA","","",""
"2.042-027.0"," Trimmer line 2,4mm, 44m","NO_DATA","","",""
"6.900-698.0"," Waste bag 10STK","NO_DATA","","",""
"2.643-950.0","Adapter M","NO_DATA","","",""
"2.443-002.0","Battery Power 4/25 *INT","NO_DATA","","",""
"2.863-316.0","Car nozzle","NO_DATA","","",""
"2.863-307.0","Crevice nozzle extra long AD","NO_DATA","","",""
"2.443-060.0","Fast charger Duo Battery Power 4 V*EU","NO_DATA","","",""
"2.860-229.0","Filter /Hepa SV","NO_DATA","","",""
"2.863-332.0","Garment Steamer","NO_DATA","","",""
"2.645-143.0","Hose PrimoFlex 3/4"" -50m","NO_DATA","","",""
"2.645-365.0","Hose trolley HT 4","NO_DATA","","",""
"1.324-400.0","K 5 WCM *EU","NO_DATA","","",""
"2.644-492.0","PC 15","NO_DATA","","",""
"2.644-491.0","PC 7.5","NO_DATA","","",""
"1.445-330.0","PGS 4-18 *INT","NO_DATA","","",""
"2.863-379.0","Re!Fibe universal floor cloth set EF","NO_DATA","","",""
"1.766-460.0","S 6 Twin","NO_DATA","","",""
"2.445-064.0","Starter kit Battery Power 36/25 *EU","NO_DATA","","",""
"2.633-927.0","Tile cloths","NO_DATA","","",""
"1.628-600.0","WD 4-18 Dual V-20/22 *INT","NO_DATA","","",""
"1.628-625.0","WD 4-18 S Dual V-20/22 *INT","NO_DATA","","",""
"1.628-314.0","WD 5 P V-25/8/35 Car (YYY) *EU","NO_DATA","","",""
"4.762-433.0"," Roll pad BR 65","WRONG_DATA","https://www.kaercher.com/ro/accesorii/suport-cilindric-638-mm-638-mm-47624330.html","45","Descrierea din DB menționează 'compatibil cu capul de perie R 65'  dar pagina spune 'Ideal pentru capul de perie R 56'; Titlul din DB: 'Roll pad BR 65'  dar pagina nu menționează 'BR 65' explicit; Pagina folosește termenul 'Suport cilindric' în timp ce DB spune 'Ax cilindric căptușit'; Incompatibilitate majoră: R 65 vs R 56 - posibil greșeală în DB sau pagină"
