PDT_LABEL,ITEM_SUP_LINK,PDT_SUP_REF,PDT_SUMMARY,PDT_KEYWORD,PDT_DESCRIPTION,PDT_IMG_FILE,PDT_IMG_URL,PDT_UNSPSC,PDT_FILE,ITEM_LABEL,ITEM_SUP_REF,PDT_SUP_URL,ITEM_CTR_REF,ITEM_VALIDITY_BEGIN_DATE,ITEM_VALIDITY_END_DATE,ITEM_COMMENT,ITEM_PUBLIC_PRICE,ITEM_UNIT_CURRENCY,ITEM_QTY_NEG_B,ITEM_PRICE_B,ITEM_QTY_NEG_C,ITEM_PRICE_C,ITEM_QTY_NEG_D,ITEM_PRICE_D,ITEM_QTY_NEG_E,ITEM_PRICE_E,ITEM_UNIT,ITEM_OTHER_UNIT,ITEM_PACKAGING,ITEM_DELIVERY_TIME,ITEM_SHIP_CODE,ITEM_INCOTERM,ITEM_INCOPLACE,fam_node,Product_type
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9527000301/servanta-mobila-extensibila-pentru-scule-cockpit-9527000301/,9527000301,Servanta mobila extensibila pentru scule COCKPIT,,"Capacitate 12 module, sarcina maxima admisa pe sertar: 20 kg.  Capacitate de depozitare 90l.  Servanta cu deschidere laterala a usii.  2 blaturi - suprafata 0,63 m2.  Blat superior din otel inoxidabil.  3 sertare deschise anti-inclinare.  2 roti fixe si 2 roti mobile.  Testata la 1 tona in stare statica.  Lacat inclus.  Sloturi laterale pentru accesorii.Capacitate 12 module, sarcina maxima admisa pe sertar: 20 kg.  Capacitate de depozitare 90l.  Servanta cu deschidere laterala a usii.  2 blaturi - suprafata 0,63 m2.  Blat superior din otel inoxidabil.  3 sertare deschise anti-inclinare.  2 roti fixe si 2 roti mobile.  Testata la 1 tona in stare statica.  Lacat inclus.  Sloturi laterale pentru accesorii.",,,,,Servanta mobila extensibila pentru scule COCKPIT,Servanta mobila extensibila pentru scule COCKPIT,,,01.01.2026,,Servanta mobila extensibila pentru scule COCKPIT,853.750368,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9527000301/servanta-mobila-extensibila-pentru-scule-cockpit-9527000301/,9527000301,Servanta mobila extensibila pentru scule COCKPIT,,"Capacitate 12 module, sarcina maxima admisa pe sertar: 20 kg.  Capacitate de depozitare 90l.  Servanta cu deschidere laterala a usii.  2 blaturi - suprafata 0,63 m2.  Blat superior din otel inoxidabil.  3 sertare deschise anti-inclinare.  2 roti fixe si 2 roti mobile.  Testata la 1 tona in stare statica.  Lacat inclus.  Sloturi laterale pentru accesorii.Capacitate 12 module, sarcina maxima admisa pe sertar: 20 kg.  Capacitate de depozitare 90l.  Servanta cu deschidere laterala a usii.  2 blaturi - suprafata 0,63 m2.  Blat superior din otel inoxidabil.  3 sertare deschise anti-inclinare.  2 roti fixe si 2 roti mobile.  Testata la 1 tona in stare statica.  Lacat inclus.  Sloturi laterale pentru accesorii.",,,,,Servanta mobila extensibila pentru scule COCKPIT,Servanta mobila extensibila pentru scule COCKPIT,,,01.01.2026,,Servanta mobila extensibila pentru scule COCKPIT,853.750368,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9518000701/servanta-mobila-pentru-scule-tsg15-ab-x-liner7-9518000701/,9518000701,Servanta mobila pentru scule TSG15 AB X-LINER7,,"Servanta cu sistem anti-basculant: nu permite deschiderea mai multor sertare simultan, nu exista risc de rasturnare.  7 sertare: 5 module cu scule / sertar.  Sarcina maxima: 850 kg (static).  4 roti pivotante din care 2 cu sistem de blocare + 2 roti fixe.  Blat din INOX incadrat in plastic ultra-rezistent cu maner bimaterial si 2 locase pentru scule si accesorii.  Capacitate sertar: 5 module cu scule / sertar.  Sarcina maxima 30 kg / sertar.Servanta cu sistem anti-basculant.  7 sertare: 5 module cu scule / sertar.  Sarcina maxima: 850 kg (static).",,,,,Servanta mobila pentru scule TSG15 AB X-LINER7,Servanta mobila pentru scule TSG15 AB X-LINER7,,,01.01.2026,,Servanta mobila pentru scule TSG15 AB X-LINER7,688.6296000000001,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9522000601/servanta-mobila-pentru-scule-tsg4-x-liner-6d-9522000601/,9522000601,Servanta mobila  pentru scule TSG4 X-liner 6+D,,"6 sertare culisante pe glisiere cu bile, 1 dulap echipat cu 2 polite reglabile pe inaltime.  sarcina maxima 1000 kg in stare statica.  sarcina maxima admisa pe sertar: 30 kg.  sertare cu blocaj pentru impiedicarea deschiderii accidentale in timpul deplasarii,    deblocarea printr-o simpla actionare asupra manerului.  sertare cu inchidere centralizata (2 chei), inchidere dulap cu 2 chei.  capacitate: 3 module/sertar.  6 roti din care 4 pivotante si 1 cu sistem de blocare.  structura din tabla de 6 mm vopsita in camp electrostatic.  accesibilitate optima: deschiderea sertarelor 100%.  blat din INOX cu maner bimaterial, cu locasuri pentru scule.  posibilitate de etichetare privind componenta de scule pe fiecare sertar.  sloturi laterale pentru atasarea de accesorii  ideal pentru service-uri auto, ateliere de reparatii-mentenanta etc.6 sertare culisante pe glisiere cu bile, 1 dulap echipat cu 2 polite reglabile pe inaltime.  sarcina maxima 1000 kg in stare statica.  sarcina maxima admisa pe sertar: 30 kg.  sertare cu blocaj pentru impiedicarea deschiderii accidentale in timpul deplasarii,    deblocarea printr-o simpla actionare asupra manerului.  sertare cu inchidere centralizata (2 chei), inchidere dulap cu 2 chei.  capacitate: 3 module/sertar.  6 roti din care 4 pivotante si 1 cu sistem de blocare.  structura din tabla de 6 m",,,,,Servanta mobila  pentru scule TSG4 X-liner 6+D,Servanta mobila  pentru scule TSG4 X-liner 6+D,,,01.01.2026,,Servanta mobila  pentru scule TSG4 X-liner 6+D,755.7429600000002,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9519000601/servanta-mobila-pentru-scule-tsg14-x-liner6-9519000601/,9519000601,Servanta mobila pentru scule TSG14 X-LINER6,,Dimensiuni LlH: 879x466x970 mm. 6 sertare: 4 module cu scule / sertar.  Sarcina maxima: 850 kg (static).  Blat din INOX incadrat in plastic ultra-rezistent.  Maner bimaterial cu 2 locase pentru accesorii.  Capacitate 4 module cu scule / sertar.  Sarcina maxima 25kg / sertar.Dimensiuni LlH: 879x466x970 mm.  6 sertare: 4 module cu scule / sertar.  Sarcina maxima: 850 kg (static).,,,,,Servanta mobila pentru scule TSG14 X-LINER6,Servanta mobila pentru scule TSG14 X-LINER6,,,01.01.2026,,Servanta mobila pentru scule TSG14 X-LINER6,659.4462720000001,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9516000501/Servanta-mobila-pentru-scule-TSG12-Proliner-5-9516000501/,9516000501,Servanta mobila pentru scule TSG12 Proliner 5,,"5 sertare culisante pe glisiere cu bile.  sarcina maxima 850 kg in stare statica.  sarcina maxima admisa pe sertar: 25 kg.  sertare cu blocaj pentru impiedicarea deschiderii accidentale in timpul deplasarii, deblocarea printr-o simpla actionare asupra manerului.  sertare cu inchidere centralizata, 2 chei.  4 roti din care 2 pivotante si 1 cu sistem de blocare.  structura din tabla de 6 mm vopsita in camp electrostatic.  accesibilitate optima: deschiderea sertarelor 100%.  blat din PVC cu maner bimaterial integrat, cu locasuri pentru scule.  posibilitate de etichetare privind componenta de scule pe fiecare sertar.  capacitate: 3 module/sertar.  sloturi laterale pentru atasarea de accesorii.  ideal pentru service-uri auto, ateliere de reparatii-mentenanta etc.5 sertare culisante pe glisiere cu bile.  sarcina maxima 850 kg in stare statica.  sarcina maxima admisa pe sertar: 25 kg.  sertare cu blocaj pentru impiedicarea deschiderii accidentale in timpul deplasarii, deblocarea printr-o simpla actionare asupra manerului.  sertare cu inchidere centralizata, 2 chei.  4 roti din care 2 pivotante si 1 cu sistem de blocare.  structura din tabla de 6 mm vopsita in camp electrostatic.  accesibilitate optima: deschiderea sertarelor 100%.  blat din PVC cu maner bim",,,,,Servanta mobila pentru scule TSG12 Proliner 5,Servanta mobila pentru scule TSG12 Proliner 5,,,01.01.2026,,Servanta mobila pentru scule TSG12 Proliner 5,546.4998720000001,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9516000601/Servanta-mobila-pentru-scule-TSG13-Proliner-6-9516000601/,9516000601,Servanta mobila pentru scule TSG13 Proliner 6,,"6 sertare culisante pe glisiere cu bile.  sarcina maxima 850 kg in stare statica.  sarcina maxima admisa pe sertar: 25 kg.  sertare cu blocaj pentru impiedicarea deschiderii accidentale in timpul deplasarii, deblocarea printr-o simpla actionare asupra manerului.  sertare cu inchidere centralizata, 2 chei.  4 roti din care 2 pivotante si 1 cu sistem de blocare.  structura din tabla de 6 mm vopsita in camp electrostatic.  accesibilitate optima: deschiderea sertarelor 100%.  blat din PVC cu maner bimaterial integrat, cu locasuri pentru scule.  posibilitate de etichetare privind componenta de scule pe fiecare sertar.  capacitate: 3 module/sertar.  sloturi laterale pentru atasarea de accesorii  ideal pentru service-uri auto, ateliere de reparatii-mentenanta etc.6 sertare culisante pe glisiere cu bile.  sarcina maxima 850 kg in stare statica.  sarcina maxima admisa pe sertar: 25 kg.  sertare cu blocaj pentru impiedicarea deschiderii accidentale in timpul deplasarii, deblocarea printr-o simpla actionare asupra manerului.  sertare cu inchidere centralizata, 2 chei.  4 roti din care 2 pivotante si 1 cu sistem de blocare.  structura din tabla de 6 mm vopsita in camp electrostatic.  accesibilitate optima: deschiderea sertarelor 100%.  blat din PVC cu maner bim",,,,,Servanta mobila pentru scule TSG13 Proliner 6,Servanta mobila pentru scule TSG13 Proliner 6,,,01.01.2026,,Servanta mobila pentru scule TSG13 Proliner 6,405.51580800000005,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9514000601/Servanta-mobila-TSG13-PROLINER-6-Negru-9514000601/,9514000601,Servanta mobila TSG13 PROLINER 6 Negru,,"Servanta mobila cu 6 sertare.  Constructie rezistenta la 850 kg de sarcina statica. Sarcina maxima pe sertar 25 kg.  Sertarele se pot bloca pentru a preveni deschiderea accidentala la manipulare.  Deblocarea se face prin simpla actionare a manerului.  Inchidere centralizata a sertarelor - 2 chei disponibile.  Sertarele sunt prevazute cu covorase de protectie  Echipat cu 2 roti pivotante, din care 1 cu cu sistem de blocare si 2 roti fixe.  Blatul : obtinut prin injectie din polipropilena, cu margini inaltate si maner integrat. Proiectat pentru a putea fi fixata o menghina de 100 mm cu baza rotativa.  FINISAJ: vopsire in camp electrostatic; laterale perforate pentru fixarea diferitelor accesorii   Fiecare sertar poate incorpora cate 3 module cu scule.  Dimensiuni sertare: 1,2,3,4 - 546x398x60 mm ; 5 - 546x398x100 mm; 6 - 546x398x240 mm.Dimensiuni L=770 x l=465 x H =970 mm  Servanta mobila cu 6 sertare.  Constructie rezistenta la 850 kg sarcina statica.  Inchidere centralizata a sertarelor - 2 chei. 2 roti pivotante, din care 1 cu sistem de blocare si 2 roti fixe.",,,,,Servanta mobila TSG13 PROLINER 6 Negru,Servanta mobila TSG13 PROLINER 6 Negru,,,01.01.2026,,Servanta mobila TSG13 PROLINER 6 Negru,403.47979200000003,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9516000701/Servanta-mobila-pentru-scule-TSG11-PROLINER-9516000701/,9516000701,Servanta mobila pentru scule TSG11 PROLINER,,"capacitate 21 module, sarcina maxima admisa pe sertar: 25 kg.  structura din tabla de 6 mm vopsita in camp electrostatic.  7 sertare culisante pe glisiere cu bile.  accesibilitate optima: deschiderea sertarelor 100%.  posibilitate de etichetare privind componenta de scule pe fiecare sertar.  4 roti din care 2 pivotante cu sistem de blocare.   blat din PVC cu locasuri. pentru scule.   inchidere centralizata, sarcina maxima 850 kg in stare statica. sloturi laterale pentru atasarea de accesorii.  ideal pentru service-uri auto, ateliere de reparatii-mentenanta etc.  DIMENSIUNI SERTARE:  1,2,3,4,5 - 546x398x60;  6 - 546x398x120;  7 - 546x398x140.capacitate 21 module, sarcina maxima admisa pe sertar: 25 kg.  structura din tabla de 6 mm vopsita in camp electrostatic.  7 sertare culisante pe glisiere cu bile.  accesibilitate optima: deschiderea sertarelor 100%.  posibilitate de etichetare privind componenta de scule pe fiecare sertar.  4 roti din care 2 pivotante cu sistem de blocare.   blat din PVC cu locasuri. pentru scule.   inchidere centralizata, sarcina maxima 850 kg in stare statica. sloturi laterale pentru atasarea de accesorii.  i",,,,,Servanta mobila pentru scule TSG11 PROLINER,Servanta mobila pentru scule TSG11 PROLINER,,,01.01.2026,,Servanta mobila pentru scule TSG11 PROLINER,618.181632,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
INDUSTRIAL EQUIPMENTS AND MATERIALS (STANDARDS AND CONSUMABLES),https://novaliaromania.ro/ro/produse/9515000601/Servanta-mobila-pentru-scule-TSG10-BASELINER-9515000601/,9515000601,Servanta mobila pentru scule TSG10 BASELINER,,"capacitate 18 module, sarcina maxima admisa pe sertar: 25 kg.  structura din tabla de 6 mm vopsita in camp electrostatic.  6 sertare culisante pe glisiere cu bile.  accesibilitate optima: deschiderea sertarelor 100%.  posibilitate de etichetare privind componenta de scule pe fiecare sertar.  4 roti din care 2 pivotante cu sistem de blocare.  inchidere centralizata, sarcina maxima 850 kg in stare statica.  sloturi laterale pentru atasarea de accesorii.  ideal pentru service-uri auto, ateliere de reparatii-mentenanta etc.  DIMENSIUNI SERTARE:  1,2,3,4 - 546x398x60; 5 - 546x398x100; 6 - 546x398x240.capacitate 18 module, sarcina maxima admisa pe sertar: 25 kg.  structura din tabla de 6 mm vopsita in camp electrostatic.  6 sertare culisante pe glisiere cu bile.  accesibilitate optima: deschiderea sertarelor 100%.  posibilitate de etichetare privind componenta de scule pe fiecare sertar.  4 roti din care 2 pivotante cu sistem de blocare.  inchidere centralizata, sarcina maxima 850 kg in stare statica.  sloturi laterale pentru atasarea de accesorii.  ideal pentru service-uri auto, ateliere de re",,,,,Servanta mobila pentru scule TSG10 BASELINER,Servanta mobila pentru scule TSG10 BASELINER,,,01.01.2026,,Servanta mobila pentru scule TSG10 BASELINER,414.72,EURO,,,,,,,,,PCE,,1,7-15 zile,,,,,
