Name,Slug,SKU,Manufacturer URL,Main Image URL,Gallery URL 1,Gallery URL 2,Gallery URL 3,Gallery URL 4,Brand,Brand Name,Model,Short Description,Category,Category Text,Subcategory,Subcategory Text,ST1 Label,ST1 Value,ST1 Details,ST2 Label,ST2 Value,ST2 Details,ST3 Label,ST3 Value,ST3 Details,Featured,App 01 Title,App 01 Details,App 02 Title,App 02 Details,App 03 Title,App 03 Details,Q1,A1,Q2,A2,Q3,A3,C1 Title,C1 Details,C2 Title,C2 Details,C3 Title,C3 Details,From field: Brand Name,From field: Brand Name 2
1.355-100.0,kaercher-1-355-100-0,1.355-100.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-100.0,https://s1.kaercher-media.com/mam/13551000/mainproduct/187953/d0.jpg,https://s1.kaercher-media.com/mam/13551000/mainproduct/187953/d1.jpg,,,,Karcher,Karcher, T 12/1 *EU,"Aspirator profesional compact 12 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-148.0,kaercher-1-355-148-0,1.355-148.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-148.0,https://s1.kaercher-media.com/mam/13551480/mainproduct/81538/d0.jpg,https://s1.kaercher-media.com/mam/13551480/mainproduct/81538/d1.jpg,,,,Karcher,Karcher, T 12/1 *EU,"Aspirator profesional compact 12 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-135.0,kaercher-1-355-135-0,1.355-135.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-135.0,https://s1.kaercher-media.com/mam/13551350/mainproduct/187953/d0.jpg,https://s1.kaercher-media.com/mam/13551350/mainproduct/187953/d1.jpg,,,,Karcher,Karcher, T 12/1 eco!efficiency *EU,"Aspirator profesional compact 12 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-133.0,kaercher-1-355-133-0,1.355-133.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-133.0,https://s1.kaercher-media.com/mam/13551330/mainproduct/187953/d0.jpg,https://s1.kaercher-media.com/mam/13551330/mainproduct/187953/d1.jpg,,,,Karcher,Karcher, T 12/1 Edition *EU,"Aspirator profesional compact 12 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-134.0,kaercher-1-355-134-0,1.355-134.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-134.0,https://s1.kaercher-media.com/mam/13551340/mainproduct/188721/d0.jpg,https://s1.kaercher-media.com/mam/13551340/mainproduct/188721/d1.jpg,,,,Karcher,Karcher, T 12/1*EU,"Aspirator profesional compact 12 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-228.0,kaercher-1-355-228-0,1.355-228.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-228.0,https://s1.kaercher-media.com/mam/13552280/mainproduct/81869/d0.jpg,https://s1.kaercher-media.com/mam/13552280/mainproduct/81869/d1.jpg,,,,Karcher,Karcher, T 15/1,"Aspirator profesional compact 15 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-235.0,kaercher-1-355-235-0,1.355-235.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-235.0,https://s1.kaercher-media.com/mam/13552350/mainproduct/87569/d0.jpg,https://s1.kaercher-media.com/mam/13552350/mainproduct/87569/d1.jpg,,,,Karcher,Karcher, T 15/1 *EU,"Aspirator profesional compact 15 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-250.0,kaercher-1-355-250-0,1.355-250.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-250.0,https://s1.kaercher-media.com/mam/13552500/mainproduct/86735/d0.jpg,https://s1.kaercher-media.com/mam/13552500/mainproduct/86735/d1.jpg,,,,Karcher,Karcher, T 15/1 *EU,"Aspirator profesional compact 15 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.355-200.0,kaercher-1-355-200-0,1.355-200.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.355-200.0,https://s1.kaercher-media.com/mam/13552000/mainproduct/86735/d0.jpg,https://s1.kaercher-media.com/mam/13552000/mainproduct/86735/d1.jpg,,,,Karcher,Karcher, T 15/1 EU,"Aspirator profesional compact 15 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.527-145.0,kaercher-1-527-145-0,1.527-145.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=1.527-145.0,https://s1.kaercher-media.com/mam/15271450/mainproduct/87556/d0.jpg,https://s1.kaercher-media.com/mam/15271450/mainproduct/87556/d1.jpg,,,,Karcher,Karcher, T 7/1 eco!efficiency *EU,"Aspirator profesional compact 7 litri – curățare eficientă și discretă în birouri, hoteluri și magazine, cu autonomie ridicată și design ergonomic.",,Aspiratoare profesionale,,Aspiratoare uscate (T),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.783-014.0,kaercher-2-783-014-0,2.783-014.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.783-014.0,https://s1.kaercher-media.com/mam/27830140/mainproduct/28894/d0.jpg,https://s1.kaercher-media.com/mam/27830140/mainproduct/28894/d1.jpg,,,,Karcher,Karcher, ABS carpet cleaning BR 40/10 C,"Soluție Kärcher pentru curățarea profesională a pardoselilor – performanță constantă, ușurință în operare și cost redus pe metru pătrat curățat.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.650-293.0,kaercher-6-650-293-0,6.650-293.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=6.650-293.0,https://s1.kaercher-media.com/mam/28601160/mainproduct/23324/d0.jpg,https://s1.kaercher-media.com/mam/15271810/mainproduct/60336/d0.jpg,,,,Karcher,Karcher," Adapter cable EU to GB, 20cm","Adaptor sau conector Kärcher – compatibilitate extinsă între sistemele de furtunuri și accesorii, instalare rapidă fără scule.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.649-700.0,kaercher-6-649-700-0,6.649-700.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=6.649-700.0,https://s1.kaercher-media.com/mam/15271810/mainproduct/60336/d0.jpg,https://s1.kaercher-media.com/mam/28601160/mainproduct/23324/d0.jpg,,,,Karcher,Karcher, Adapter cable UK,"Adaptor sau conector Kärcher – compatibilitate extinsă între sistemele de furtunuri și accesorii, instalare rapidă fără scule.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.035-488.0,kaercher-5-035-488-0,5.035-488.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=5.035-488.0,https://s1.kaercher-media.com/mam/50354880/mainproduct/47019/d0.jpg,https://s1.kaercher-media.com/mam/50354880/mainproduct/47019/d1.jpg,,,,Karcher,Karcher, Adapter Homebase,"Adaptor sau conector Kärcher – compatibilitate extinsă între sistemele de furtunuri și accesorii, instalare rapidă fără scule.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.035-473.0,kaercher-4-035-473-0,4.035-473.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.035-473.0,https://s1.kaercher-media.com/mam/15271810/mainproduct/60336/d0.jpg,https://s1.kaercher-media.com/mam/28601160/mainproduct/23324/d0.jpg,,,,Karcher,Karcher, Adapter Set BD,"Adaptor sau conector Kärcher – compatibilitate extinsă între sistemele de furtunuri și accesorii, instalare rapidă fără scule.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.035-472.0,kaercher-4-035-472-0,4.035-472.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.035-472.0,https://s1.kaercher-media.com/mam/15271810/mainproduct/60336/d0.jpg,https://s1.kaercher-media.com/mam/28601160/mainproduct/23324/d0.jpg,,,,Karcher,Karcher, Adapter Set BR,"Adaptor sau conector Kärcher – compatibilitate extinsă între sistemele de furtunuri și accesorii, instalare rapidă fără scule.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.031-085.0,kaercher-4-031-085-0,4.031-085.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.031-085.0,https://s1.kaercher-media.com/mam/28601160/mainproduct/23324/d0.jpg,https://s1.kaercher-media.com/mam/15271810/mainproduct/60336/d0.jpg,,,,Karcher,Karcher, Additional weight belt drive BD 45-55/40,"Soluție Kärcher pentru curățarea profesională a pardoselilor – performanță constantă, ușurință în operare și cost redus pe metru pătrat curățat.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.641-718.0,kaercher-2-641-718-0,2.641-718.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.641-718.0,https://s1.kaercher-media.com/mam/26417180/mainproduct/25519/d0.jpg,https://s1.kaercher-media.com/mam/26417180/mainproduct/25519/d1.jpg,,,,Karcher,Karcher, Add-on kit,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.642-802.0,kaercher-2-642-802-0,2.642-802.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.642-802.0,https://s1.kaercher-media.com/mam/26428020/mainproduct/43406/d0.jpg,https://s1.kaercher-media.com/mam/26428020/mainproduct/43406/d1.jpg,,,,Karcher,Karcher, Add-on kit additional weight BDS,"Kit de greutate suplimentară – crește presiunea de contact a discului pe suprafețele dure, pentru curățare sau polișare mai agresivă.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.783-005.0,kaercher-2-783-005-0,2.783-005.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.783-005.0,https://s1.kaercher-media.com/mam/27830050/mainproduct/58851/d0.jpg,https://s1.kaercher-media.com/mam/27830050/mainproduct/58851/d1.jpg,,,,Karcher,Karcher, Add-on kit carpet cleaning BR 30/4 C,"Kit pentru curățarea mochetelor – transformă mașina de spălat pardoseli în echipament de injecție-extracție, fără investiție suplimentară în echipament.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.640-099.0,kaercher-2-640-099-0,2.640-099.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.640-099.0,https://s1.kaercher-media.com/mam/26450990/mainproduct/21683/d3.jpg,,,,,Karcher,Karcher, Add-on kit carriage BD530,"Kit de transport cu roți – permite deplasarea ușoară a echipamentului greu între zone de lucru, fără efort fizic suplimentar.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.037-134.0,kaercher-4-037-134-0,4.037-134.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.037-134.0,https://s1.kaercher-media.com/mam/40371300/mainproduct/170251/d3.jpg,https://s1.kaercher-media.com/mam/40371440/mainproduct/22524/d3.jpg,,,,Karcher,Karcher, Add-on kit cover chemistry Retail,Kit de protecție pentru compartimentul de chimicale – previne contaminarea încrucișată și asigură depozitarea sigură a detergenților la bord.,,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.644-228.0,kaercher-2-644-228-0,2.644-228.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.644-228.0,https://s1.kaercher-media.com/mam/26442280/mainproduct/199356/d0.jpg,https://s1.kaercher-media.com/mam/26442280/mainproduct/199356/d1.jpg,,,,Karcher,Karcher, Add-on kit deflector roll stackable,"Kit deflector rolă – permite stivuirea compactă a mașinilor de curățare, optimizând spațiul în flotele de echipamente.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.644-225.0,kaercher-2-644-225-0,2.644-225.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.644-225.0,https://s1.kaercher-media.com/mam/26442250/mainproduct/199355/d0.jpg,https://s1.kaercher-media.com/mam/26442250/mainproduct/199355/d1.jpg,,,,Karcher,Karcher, Add-on kit deflector roll stackable,"Kit deflector rolă – permite stivuirea compactă a mașinilor de curățare, optimizând spațiul în flotele de echipamente.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.644-168.0,kaercher-2-644-168-0,2.644-168.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.644-168.0,https://s1.kaercher-media.com/mam/26441680/mainproduct/201733/d0.jpg,https://s1.kaercher-media.com/mam/26441680/mainproduct/201733/d1.jpg,,,,Karcher,Karcher, Add-on kit deflector roll stackable B100,"Kit deflector rolă – permite stivuirea compactă a mașinilor de curățare, optimizând spațiul în flotele de echipamente.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.643-977.0,kaercher-2-643-977-0,2.643-977.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.643-977.0,https://s1.kaercher-media.com/mam/26439770/mainproduct/86332/d0.jpg,https://s1.kaercher-media.com/mam/26439770/mainproduct/86332/d1.jpg,,,,Karcher,Karcher, Add-on kit drain hose ball valve BD 43,"Kit de evacuare cu robinet cu sferă – golire rapidă și controlată a rezervorului de soluție uzată, fără manipulări manuale sau scurgeri.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.643-986.0,kaercher-2-643-986-0,2.643-986.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.643-986.0,https://s1.kaercher-media.com/mam/26439860/mainproduct/86332/d0.jpg,https://s1.kaercher-media.com/mam/26439860/mainproduct/86332/d1.jpg,,,,Karcher,Karcher, Add-on kit drain hose ball valve BD 50,"Kit de evacuare cu robinet cu sferă – golire rapidă și controlată a rezervorului de soluție uzată, fără manipulări manuale sau scurgeri.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.644-139.0,kaercher-2-644-139-0,2.644-139.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.644-139.0,https://s1.kaercher-media.com/mam/26441390/mainproduct/198366/d0.jpg,https://s1.kaercher-media.com/mam/26441390/mainproduct/198366/d1.jpg,,,,Karcher,Karcher, Add-on kit emergency stop B100/B75,"Kit oprire de urgență – siguranță activă pentru operatorul mașinii de curățare, conform cerințelor de securitate industrială.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.641-748.0,kaercher-2-641-748-0,2.641-748.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.641-748.0,https://s1.kaercher-media.com/mam/26417480/mainproduct/25514/d0.jpg,https://s1.kaercher-media.com/mam/26417480/mainproduct/25514/d1.jpg,,,,Karcher,Karcher, Add-on kit filling,"Kit de umplere rapidă a rezervorului – conectare directă la robinetul de apă, fără efort și fără deversări accidentale.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.039-269.0,kaercher-4-039-269-0,4.039-269.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.039-269.0,https://s1.kaercher-media.com/mam/40392670/mainproduct/112895/d3.jpg,,,,,Karcher,Karcher, Add-on kit liner holder,Kit de mop sau sac colector – facilitează curățarea suprafețelor delicate și colectarea igienică a lichidelor reziduale.,,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.039-271.0,kaercher-4-039-271-0,4.039-271.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.039-271.0,https://s1.kaercher-media.com/mam/40392710/mainproduct/38128/d0.jpg,https://s1.kaercher-media.com/mam/40392710/mainproduct/38128/d1.jpg,,,,Karcher,Karcher, Add-on kit mop holder,Kit de mop sau sac colector – facilitează curățarea suprafețelor delicate și colectarea igienică a lichidelor reziduale.,,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.039-270.0,kaercher-4-039-270-0,4.039-270.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.039-270.0,https://s1.kaercher-media.com/mam/40392700/mainproduct/75409/d0.jpg,https://s1.kaercher-media.com/mam/40392700/mainproduct/75409/d1.jpg,,,,Karcher,Karcher, Add-on kit pre-sweep unit,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.039-368.0,kaercher-4-039-368-0,4.039-368.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=4.039-368.0,https://s1.kaercher-media.com/mam/40393680/mainproduct/75409/d0.jpg,https://s1.kaercher-media.com/mam/40393680/mainproduct/75409/d1.jpg,,,,Karcher,Karcher, Add-on kit pre-sweep unit,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.640-897.0,kaercher-2-640-897-0,2.640-897.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.640-897.0,https://s1.kaercher-media.com/mam/26408870/mainproduct/68364/d3.jpg,https://s1.kaercher-media.com/mam/26408700/mainproduct/10580/d3.jpg,,,,Karcher,Karcher, Add-on kit protection shield,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.644-089.0,kaercher-2-644-089-0,2.644-089.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.644-089.0,https://s1.kaercher-media.com/mam/26440890/mainproduct/192442/d0.jpg,https://s1.kaercher-media.com/mam/26440890/mainproduct/192442/d1.jpg,,,,Karcher,Karcher, Add-on kit protection shield B150R/B200R,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.643-944.0,kaercher-2-643-944-0,2.643-944.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.643-944.0,https://s1.kaercher-media.com/mam/26439440/mainproduct/87815/d0.jpg,https://s1.kaercher-media.com/mam/26439440/mainproduct/87815/d1.jpg,,,,Karcher,Karcher, Add-on kit protection shield height,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.643-696.0,kaercher-2-643-696-0,2.643-696.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.643-696.0,https://s1.kaercher-media.com/mam/26436960/mainproduct/87815/d0.jpg,https://s1.kaercher-media.com/mam/26436960/mainproduct/87815/d1.jpg,,,,Karcher,Karcher, Add-on kit protection shield low,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.643-849.0,kaercher-2-643-849-0,2.643-849.0,https://www.kaercher.com/ro/cautare-rezultate.html?query=2.643-849.0,https://s1.kaercher-media.com/mam/26438490/mainproduct/142657/d0.jpg,https://s1.kaercher-media.com/mam/26438490/mainproduct/142657/d1.jpg,,,,Karcher,Karcher, Add-on kit protection shield revolving s,"Kit de extensie Kärcher – extinde funcționalitățile mașinii de curățare fără a înlocui echipamentul existent, cu montaj rapid și fără unelte.",,Mașini de curățat pardoseli,,Accesorii & piese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
